#Monitoring-Site	Remote-Site	?	Oct2014	Sep2014	Aug2014	Jul2014	Jun2014	May2014	Apr2014	Mar2014	Feb2014	Jan2014	Dec2013	Nov2013	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.NCP.EDU.N3	PK.USINDH.EDU.N2	?M	30.457	29.089	30.158	30.246	30.776	31.621	31.909	29.279	28.146	29.854	31.969	31.093	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.usindh.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.VU.EDU	?M	15.686	9.852	9.492	10.096	9.395	10.832	10.971	8.763	8.440	10.017	8.724	8.425	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.vu.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PY.WWW.UNA.N1	?B	432.111	454.648	466.760	468.451	459.147	459.966	439.750	449.166	444.726	420.935	445.241	441.738	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.una.py	PY	Latin_America
PK.NCP.EDU.N3	RS.BG.AC.N1	?B	276.623	263.565	274.855	268.936	299.717	368.565	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	ns.rcub.bg.ac.rs	RS	Balkans
PK.NCP.EDU.N3	RU.ITEP.N1	?B	379.691	354.691	357.579	365.183	369.591	384.195	369.397	355.808	504.311	489.752	400.391	401.510	pinger-ncp.ncp.edu.pk	PK	South_Asia	mctest.itep.ru	RU	Russia
PK.NCP.EDU.N3	RU.NSK.N1	?M	261.988	256.218	263.912	252.461	261.783	278.350	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	rainbow.inp.nsk.su	SU	Russia
PK.NCP.EDU.N3	SG.SINGAREN.NET.N1	?B	141.887	185.280	208.986	166.141	189.454	221.373	235.243	234.218	247.329	244.184	235.467	217.500	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.singaren.net.sg	SG	S.E._Asia
PK.NCP.EDU.N3	SI.UNI-MB.N1	?B	268.895	258.274	266.522	265.769	294.940	370.029	380.979	383.847	396.555	386.202	370.514	371.983	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.uni-mb.si	SI	Balkans
PK.NCP.EDU.N3	SK.SANET.N1	?B	345.415	310.202	265.862	307.150	331.808	358.884	371.897	370.207	386.566	378.011	359.175	360.035	pinger-ncp.ncp.edu.pk	PK	South_Asia	ba.sanet.sk	SK	Europe
PK.NCP.EDU.N3	SN.COLLEGE.EDU.N1	?r	.	.	.	.	.	.	.	.	233.798	237.512	.	228.008	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.college.edu.sn	SN	Africa
PK.NCP.EDU.N3	SN.ESMT	?B	226.264	224.954	239.287	246.966	307.601	295.541	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.esmt.sn	SN	Africa
PK.NCP.EDU.N3	SV.RED.N1	?B	317.193	370.060	380.811	368.307	368.726	360.559	341.747	392.169	320.087	335.732	383.236	361.310	pinger-ncp.ncp.edu.pk	PK	South_Asia	cir.red.sv	SV	Latin_America
PK.NCP.EDU.N3	TG.REFER.ORG.N1	?B	280.137	335.201	296.453	343.444	315.474	321.969	328.202	647.214	546.006	469.215	459.843	753.465	pinger-ncp.ncp.edu.pk	PK	South_Asia	tg.refer.org	ORG	Africa
